Profit, Revenue, Cost
17432195.6, 17477200, 45004.4
17497878.0, 17543000, 45122.0
17443433.2, 17488800, 45366.8
17478050.0, 17523100, 45050.0
17477147.6, 17522200, 45052.4
17438297.2, 17483400, 45102.8
17349165.2, 17393800, 44634.8
17423830.0, 17468700, 44870.0
17553309.2, 17598700, 45390.8
17496924.4, 17542200, 45275.6
17486488.4, 17531800, 45311.6
17487179.6, 17532400, 45220.4
17384901.2, 17429800, 44898.8
17519117.2, 17564400, 45282.8
17420306.0, 17465500, 45194.0
17450633.2, 17495700, 45066.8
17414130.0, 17459000, 44870.0
17522183.6, 17567500, 45316.4
17493924.4, 17539200, 45275.6
17412118.8, 17457200, 45081.2
17397545.2, 17442300, 44754.8
17455983.6, 17501300, 45316.4
17440754.0, 17485600, 44846.0
17469634.0, 17514900, 45266.0
17506238.8, 17551200, 44961.2
17557109.2, 17602500, 45390.8
17560194.8, 17605600, 45405.2
17577092.4, 17622500, 45407.6
17429911.6, 17474700, 44788.4
17450035.6, 17495100, 45064.4
17530030.8, 17575100, 45069.2
17421422.8, 17466300, 44877.2
17463486.0, 17508500, 45014.0
17386406.0, 17431300, 44894.0
17432714.0, 17477800, 45086.0
17521630.8, 17567000, 45369.2
17399511.6, 17444600, 45088.4
17406102.0, 17451200, 45098.0
17586711.6, 17632400, 45688.4
17526448.4, 17571700, 45251.6
17485232.4, 17530400, 45167.6
17349806.0, 17394400, 44594.0
17328032.4, 17372900, 44867.6
17537582.0, 17582800, 45218.0
17486119.6, 17531100, 44980.4
17311214.0, 17356000, 44786.0
17388667.6, 17433600, 44932.4
17430397.2, 17475200, 44802.8
17462591.6, 17507800, 45208.4
17452648.4, 17497600, 44951.6
17435212.4, 17480200, 44987.6
17502681.2, 17548000, 45318.8
17437884.4, 17483100, 45215.6
17567068.4, 17612500, 45431.6
17543891.6, 17589100, 45208.4
17462774.8, 17508000, 45225.2
17448584.4, 17493800, 45215.6
17369174.8, 17414100, 44925.2
17554119.6, 17599400, 45280.4
17470534.0, 17515800, 45266.0
17470382.0, 17515600, 45218.0
17360413.2, 17405600, 45186.8
17426747.6, 17471800, 45052.4
17472503.6, 17517700, 45196.4
17289504.4, 17334300, 44795.6
17499646.8, 17544800, 45153.2
17511793.2, 17557100, 45306.8
17546894.8, 17592300, 45405.2
17509622.0, 17554900, 45278.0
17505984.4, 17550900, 44915.6
17483305.2, 17528300, 44994.8
17384174.0, 17428900, 44726.0
17463850.0, 17508900, 45050.0
17322490.8, 17366900, 44409.2
17571163.6, 17616300, 45136.4
17216151.6, 17260700, 44548.4
17510149.2, 17555300, 45150.8
17579611.6, 17625000, 45388.4
17475549.2, 17520700, 45150.8
17398382.0, 17443300, 44918.0
17423707.6, 17468700, 44992.4
17347690.8, 17392700, 45009.2
17391174.8, 17436400, 45225.2
17448598.8, 17493800, 45201.2
17452917.2, 17497900, 44982.8
17408531.6, 17453800, 45268.4
17481972.4, 17527200, 45227.6
17526313.2, 17571500, 45186.8
17399898.8, 17444800, 44901.2
17471861.2, 17516700, 44838.8
17408904.4, 17454000, 45095.6
17482706.8, 17527800, 45093.2
17450838.8, 17496100, 45261.2
17451851.6, 17497000, 45148.4
17489958.0, 17535200, 45242.0
17427591.6, 17472500, 44908.4
17356338.8, 17401300, 44961.2
17376198.8, 17420800, 44601.2
17484255.6, 17529500, 45244.4
17510604.4, 17556000, 45395.6
17500964.4, 17546300, 45335.6
17370356.4, 17414900, 44543.6
17413554.8, 17458600, 45045.2
17463457.2, 17508500, 45042.8
17463262.8, 17508200, 44937.2
17555602.0, 17601000, 45398.0
17456955.6, 17501900, 44944.4
17286687.6, 17331200, 44512.4
17539744.4, 17584900, 45155.6
17438569.2, 17483600, 45030.8
17463780.4, 17508900, 45119.6
17427049.2, 17471900, 44850.8
17438494.8, 17483600, 45105.2
17423521.2, 17468600, 45078.8
